Time,Source,Destination,Length,Protocol,TTL,Source Port,Destination Port,TCP Flags,Info,Time Delta
24.99034407768949,192.168.1.8,192.168.1.20,316,17,105,50240,24623,SYN,UDP Port 50240 > 24623 [Request],0.5570576927486144
26.694173804328432,192.168.1.8,192.168.1.20,1224,17,93,50008,62966,SYN,UDP Port 50008 > 62966 [Request],1.7038297266389435
28.665518776208266,192.168.1.8,192.168.1.20,499,6,45,41798,36246,SYN,TCP Port 41798 > 36246 [Data],1.9713449718798337
28.672495185389916,192.168.1.8,192.168.1.20,1377,17,126,3592,12861,SYN,UDP Port 3592 > 12861 [Request],0.006976409181650212
29.38737134472847,192.168.1.8,192.168.1.20,61,6,79,55639,15063,PSH,TCP Port 55639 > 15063 [Data],0.7148761593385551
29.927644665647144,192.168.1.8,192.168.1.20,292,17,46,63616,59172,SYN,UDP Port 63616 > 59172 [Request],0.5402733209186721
2.6126336514161914,192.168.10.30,172.135.10.40,5000,6,2,505,777,FIN,TCP Port 505 > 777 [Data],-27.31501101423095
3.9119139536902585,192.168.10.30,172.135.10.40,2000,17,250,131,346,SYN,UDP Port 131 > 346 [Request],1.299280302274067
4.307241771402243,192.168.10.30,172.135.10.40,5000,17,250,485,565,SYN,UDP Port 485 > 565 [Request],0.39532781771198433
5.152244873707861,192.168.10.30,172.135.10.40,5000,17,250,819,898,SYN,UDP Port 819 > 898 [Request],0.8450031023056184
5.887953602655409,192.168.10.30,172.135.10.40,2000,17,250,647,340,SYN,UDP Port 647 > 340 [Request],0.7357087289475475
9.136567872895755,192.168.10.30,172.135.10.40,2000,6,5,21,92,URG,TCP Port 21 > 92 [Data],3.2486142702403464
10.997895120340372,192.168.10.30,172.135.10.40,5000,6,2,841,367,URG,TCP Port 841 > 367 [Data],1.861327247444617
12.373526969169028,192.168.10.30,172.135.10.40,3000,17,2,167,956,SYN,UDP Port 167 > 956 [Request],1.3756318488286556
13.149386705119229,192.168.10.30,172.135.10.40,5000,17,5,274,455,SYN,UDP Port 274 > 455 [Request],0.7758597359502009
14.033092068127376,192.168.10.30,172.135.10.40,5000,6,2,388,428,RST,TCP Port 388 > 428 [Data],0.8837053630081471
17.392820513788227,192.168.10.30,172.135.10.40,5000,6,5,601,509,URG,TCP Port 601 > 509 [Data],3.359728445660851
18.32685332893931,192.168.10.30,172.135.10.40,5000,6,250,316,776,URG,TCP Port 316 > 776 [Data],0.9340328151510846
18.649816085733253,192.168.10.30,172.135.10.40,2000,1,5,14,943,SYN,ICMP Echo Request,0.3229627567939417
19.001181586464536,192.168.10.30,172.135.10.40,5000,1,250,242,35,SYN,ICMP Echo Request,0.3513655007312835
19.181824879207362,192.168.10.30,172.135.10.40,3000,1,250,1018,206,SYN,ICMP Echo Request,0.18064329274282542
